                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3981,                 1.7815,                 1.0104,                0.79618,                0.62154,                0.71909,                0.42657,                 1.3236,                 1.3061,                 1.0226,             0.00066396,             0.00066396,             0.00066396
                      2,                 1.3153,                  1.089,                 1.0113,                 0.8016,                0.63411,                0.74189,                0.44634,                 1.3293,                0.97879,                 1.0537,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.2828,                0.93959,                 1.0118,                0.80828,                 0.6797,                0.77171,                0.45981,                 1.2861,                 0.8597,                 1.0043,              0.0019577,              0.0019577,              0.0019577
                      4,                 1.2501,                 0.8736,                 1.0087,                0.85749,                0.69188,                0.78889,                0.52475,                 1.0827,                0.80583,                0.98405,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2099,                0.84407,                0.99072,                0.84039,                0.69739,                0.80354,                0.54051,                 1.0737,                0.73536,                0.97764,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2112,                0.81059,                0.99057,                0.87037,                0.72234,                0.82511,                0.54456,                 1.0854,                0.72494,                 1.0056,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1584,                0.77477,                0.96962,                0.83113,                0.70623,                0.80815,                0.54413,                 1.0434,                0.72337,                0.96564,               0.001901,               0.001901,               0.001901
                      8,                 1.1458,                0.75472,                0.96613,                0.86742,                0.73472,                0.83319,                0.57083,                 1.0395,                0.66656,                0.96959,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1378,                0.75294,                0.97521,                0.87163,                0.72824,                0.83542,                 0.5643,                 1.0433,                   0.67,                0.96657,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1158,                0.72497,                0.96279,                0.87292,                0.69267,                0.78582,                0.53915,                 1.0159,                0.93931,                  0.972,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.117,                0.73171,                0.96542,                0.84971,                0.70767,                0.81193,                0.55043,                  1.019,                0.67894,                 0.9602,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0927,                0.71108,                0.95573,                0.86526,                0.75839,                0.84557,                0.58262,                      1,                0.62886,                0.95449,               0.001802,               0.001802,               0.001802
                     13,                 1.0914,                0.70748,                0.95372,                0.85715,                 0.7558,                0.84838,                0.57183,                 1.0315,                0.64832,                0.96282,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0831,                0.69694,                0.95428,                0.88837,                 0.7569,                0.86435,                0.58873,                0.99249,                0.61386,                0.95172,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0794,                0.69429,                0.95276,                0.88026,                 0.7526,                0.84514,                0.58953,                0.96062,                0.63748,                0.94638,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0525,                 0.6697,                0.94312,                0.88302,                0.75044,                0.85056,                0.59594,                0.95905,                0.63198,                0.94318,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.066,                0.68006,                0.94816,                0.88006,                0.75985,                0.85916,                0.60373,                0.94812,                0.60828,                0.94072,               0.001703,               0.001703,               0.001703
                     18,                 1.0535,                0.66472,                0.94259,                0.88112,                0.76028,                0.84841,                0.60014,                0.95143,                 0.6025,                0.94694,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0449,                0.65162,                0.93453,                0.89441,                0.76404,                0.86441,                0.60784,                 0.9525,                0.58805,                0.94364,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0453,                0.64951,                0.94238,                0.87557,                0.73562,                0.83779,                0.57877,                0.98941,                0.65846,                 0.9506,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0427,                0.64887,                0.94036,                0.88422,                0.77888,                0.86987,                0.60746,                0.94009,                0.58272,                0.93344,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0344,                0.65186,                0.93787,                0.88077,                0.76872,                0.86422,                0.60233,                0.97962,                0.58673,                0.94497,               0.001604,               0.001604,               0.001604
                     23,                 1.0386,                0.65265,                0.94336,                 0.8685,                0.73066,                0.83473,                0.58821,                0.95965,                0.61873,                0.93978,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0305,                0.64155,                0.93443,                0.87972,                0.74081,                0.85038,                0.58167,                 1.0125,                0.60878,                0.95917,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0057,                0.62265,                0.92752,                0.89324,                0.77435,                0.86749,                0.60206,                0.96139,                0.58045,                0.93664,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0138,                 0.6229,                0.92867,                0.89831,                0.76548,                0.86743,                0.61017,                0.96032,                0.57591,                0.94211,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.004,                0.62451,                0.92915,                0.91552,                0.75173,                 0.8646,                0.61201,                0.93738,                0.58322,                0.93119,               0.001505,               0.001505,               0.001505
                     28,                0.99696,                0.62096,                0.92994,                0.87343,                0.75533,                0.85128,                0.59978,                0.94227,                0.57829,                0.93543,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0138,                0.62691,                0.93438,                0.91538,                0.77088,                0.87936,                0.62068,                0.94324,                0.55196,                0.93167,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0036,                0.61094,                0.92349,                0.89163,                0.78575,                0.87566,                0.62147,                0.92254,                0.55554,                0.93332,              0.0014456,              0.0014456,              0.0014456
                     31,                0.97692,                0.60028,                0.91985,                 0.9033,                0.77736,                 0.8754,                0.62931,                0.90573,                0.55904,                0.92493,              0.0014258,              0.0014258,              0.0014258
                     32,                0.98841,                0.60466,                0.92179,                 0.9038,                0.77906,                0.87894,                0.62663,                0.92136,                0.55365,                0.93065,               0.001406,               0.001406,               0.001406
                     33,                 0.9973,                0.60923,                0.92389,                0.90651,                0.78503,                0.88055,                0.61899,                0.92358,                0.54731,                 0.9302,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0057,                0.59954,                0.92313,                0.89344,                0.79086,                0.88608,                0.62605,                0.91374,                0.54578,                0.92591,              0.0013664,              0.0013664,              0.0013664
                     35,                0.97577,                0.59633,                0.92218,                0.88833,                 0.7864,                0.87884,                0.62969,                0.91072,                0.54605,                0.92196,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.9711,                0.59239,                 0.9142,                  0.885,                 0.7773,                0.87154,                0.63035,                0.88863,                0.53159,                 0.9269,              0.0013268,              0.0013268,              0.0013268
                     37,                0.98022,                0.59367,                0.92007,                0.90825,                0.79175,                0.88567,                0.63485,                0.89344,                0.52548,                0.92006,               0.001307,               0.001307,               0.001307
                     38,                0.97911,                0.58895,                0.92665,                0.90024,                0.79444,                0.88778,                0.62071,                  0.928,                0.53456,                 0.9251,              0.0012872,              0.0012872,              0.0012872
                     39,                0.96881,                0.58504,                0.91745,                0.89079,                0.79014,                0.88629,                0.63015,                0.91064,                0.53817,                0.92845,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.9654,                0.58008,                0.91336,                0.90329,                0.78367,                0.88346,                0.63386,                0.88546,                0.52833,                 0.9197,              0.0012476,              0.0012476,              0.0012476
                     41,                0.95822,                0.57282,                0.91399,                0.89363,                0.80075,                0.89229,                0.63927,                0.89905,                0.52117,                0.92358,              0.0012278,              0.0012278,              0.0012278
                     42,                0.95651,                 0.5753,                0.91067,                0.90511,                0.79092,                0.89037,                0.63906,                0.90141,                0.51408,                0.92083,               0.001208,               0.001208,               0.001208
                     43,                0.95964,                0.56947,                0.91769,                0.90555,                0.78483,                0.88228,                0.62798,                0.92008,                0.52735,                0.92279,              0.0011882,              0.0011882,              0.0011882
                     44,                0.96093,                0.57041,                0.91081,                0.90784,                0.79996,                0.89441,                0.63939,                 0.8965,                0.51279,                0.91321,              0.0011684,              0.0011684,              0.0011684
                     45,                0.95778,                0.57489,                0.91228,                0.90589,                0.78873,                0.88574,                0.63686,                0.89285,                 0.5154,                0.92097,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.9512,                0.56838,                0.91069,                0.90872,                0.79269,                0.89213,                0.64545,                0.87849,                0.50921,                0.91246,              0.0011288,              0.0011288,              0.0011288
                     47,                0.94287,                0.55716,                0.90487,                0.89978,                0.79741,                0.89528,                 0.6357,                0.91585,                0.50508,                0.92145,               0.001109,               0.001109,               0.001109
                     48,                0.94116,                 0.5605,                0.91089,                0.90014,                0.79884,                0.89152,                0.64975,                0.87262,                0.51076,                0.91364,              0.0010892,              0.0010892,              0.0010892
                     49,                0.94373,                0.55889,                0.90832,                0.90005,                0.79112,                0.88767,                0.63549,                0.89077,                0.50874,                0.91716,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.9295,                0.55161,                0.90643,                0.90244,                0.79682,                0.88954,                0.63553,                0.91126,                0.51085,                0.92169,              0.0010496,              0.0010496,              0.0010496
                     51,                0.91971,                0.54139,                0.90055,                0.90199,                0.80605,                0.89843,                0.63768,                0.90703,                0.50648,                 0.9175,              0.0010298,              0.0010298,              0.0010298
                     52,                0.93176,                0.54677,                0.90604,                0.89713,                0.80201,                0.89481,                0.63817,                0.89275,                0.50667,                0.91533,                0.00101,                0.00101,                0.00101
                     53,                0.93007,                0.54101,                0.90481,                0.89878,                0.79466,                0.88905,                 0.6441,                0.88579,                0.50388,                0.91429,              0.0009902,              0.0009902,              0.0009902
